Task,70M,160M,410M,1B,1.4B,2.8B,6.9B,12B
Lambada (OpenAI),0.214 + 0.006,0.368 + 0.007,0.500 + 0.007,0.549 + 0.007,0.592 I 0.007,0.633 + 0.007,0.657 + 0.007,0.684 + 0.006
PIQA,0.598 + 0.011,0.625 + 0.011,0.667 + 0.011,0.701 + 0.011,0.705 + 0.011,0.731 + 0.010,0.741 + 0.010,0.755 + 0.010
WinoGrande,0.508 + 0.014,0.512 + 0.014,0.525 + 0.014,0.519 + 0.014,0.560 + 0.014,0.592 + 0.014,0.593 + 0.014,0.630 + 0.014
WSC,0.365 + 0.047,0.365 + 0.047,0.625 + 0.048,0.365 + 0.047,0.394 + 0.048,0.365 + 0.047,0.365 +0.047,0.635 + 0.047
ARC - Easy,0.359 + 0.010,0.463 + 0.010,0.512 + 0.010,0.551 + 0.010,0.594 + 0.010,0.622 + 0.010,0.657 +0.010,0.686 + 0.010
ARC - Challenge,0.172 + 0.011,0.192 + 0.012,0.218 + 0.012,0.229 + 0.012,0.253 + 0.013,0.281 + 0.013,0.318 + 0.014,0.312 + 0.014
SciQ,0.642 + 0.015,0.764 + 0.013,0.808 + 0.012,0.837 + 0.012,0.873 + 0.011,0.875 + 0.010,0.901 + 0.009,0.909 + 0.009
LogiQA,0.220 + 0.016,0.214 + 0.016,0.206 + 0.016,0.224 + 0.016,0.224 + 0.016,0.220 + 0.016,0.240 + 0.017,0.230 + 0.017
