,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_step_size,strong_params,strong_step_size
98,0.655,0.735,0.71,0.71,1.4,61000,0.41,61000
99,0.655,0.715,0.7,0.65,1.4,61000,0.41,91000
100,0.625,0.635,0.62,0.565,1.4,91000,1.4,1000
101,0.625,0.635,0.62,0.55,1.4,91000,1.4,121000
102,0.625,0.605,0.625,0.58,1.4,91000,1.4,31000
103,0.625,0.635,0.62,0.58,1.4,91000,1.4,61000
104,0.625,0.57,0.625,0.58,1.4,91000,1.4,91000
105,0.625,0.65,0.625,0.555,1.4,91000,0.16,1000
106,0.625,0.635,0.62,0.58,1.4,91000,0.16,121000
107,0.625,0.675,0.625,0.585,1.4,91000,0.16,31000
108,0.625,0.63,0.63,0.54,1.4,91000,0.16,61000
109,0.625,0.63,0.635,0.555,1.4,91000,0.16,91000
110,0.625,0.64,0.63,0.555,1.4,91000,1.0,1000
111,0.625,0.57,0.625,0.59,1.4,91000,1.0,121000
112,0.625,0.655,0.635,0.59,1.4,91000,1.0,31000
113,0.625,0.665,0.62,0.605,1.4,91000,1.0,61000
114,0.625,0.63,0.625,0.6,1.4,91000,1.0,91000
115,0.625,0.64,0.635,0.6,1.4,91000,2.8,1000
116,0.625,0.57,0.62,0.54,1.4,91000,2.8,121000
117,0.625,0.635,0.62,0.61,1.4,91000,2.8,31000
118,0.625,0.635,0.63,0.56,1.4,91000,2.8,61000
119,0.625,0.635,0.62,0.57,1.4,91000,2.8,91000
120,0.625,0.565,0.635,0.535,1.4,91000,0.41,1000
121,0.625,0.58,0.62,0.58,1.4,91000,0.41,121000
122,0.625,0.66,0.635,0.61,1.4,91000,0.41,31000
123,0.625,0.735,0.63,0.505,1.4,91000,0.41,61000
124,0.625,0.715,0.635,0.555,1.4,91000,0.41,91000
125,0.58,0.6,0.59,0.55,0.16,1000,1.4,1000
126,0.59,0.635,0.655,0.555,0.16,1000,1.4,121000
127,0.59,0.635,0.63,0.605,0.16,1000,1.4,31000
128,0.58,0.72,0.595,0.58,0.16,1000,1.4,61000
129,0.59,0.635,0.665,0.61,0.16,1000,1.4,91000
130,0.58,0.65,0.6,0.595,0.16,1000,0.16,1000
131,0.58,0.62,0.6,0.585,0.16,1000,0.16,121000
132,0.58,0.66,0.61,0.585,0.16,1000,0.16,31000
133,0.58,0.685,0.61,0.55,0.16,1000,0.16,61000
134,0.58,0.635,0.625,0.59,0.16,1000,0.16,91000
135,0.58,0.55,0.605,0.57,0.16,1000,1.0,1000
136,0.58,0.695,0.605,0.58,0.16,1000,1.0,121000
137,0.59,0.63,0.645,0.62,0.16,1000,1.0,31000
138,0.59,0.685,0.64,0.605,0.16,1000,1.0,61000
139,0.59,0.71,0.655,0.6,0.16,1000,1.0,91000
140,0.58,0.64,0.6,0.515,0.16,1000,2.8,1000
141,0.58,0.57,0.61,0.555,0.16,1000,2.8,121000
142,0.58,0.635,0.605,0.6,0.16,1000,2.8,31000
143,0.58,0.635,0.59,0.56,0.16,1000,2.8,61000
144,0.58,0.635,0.605,0.6,0.16,1000,2.8,91000
145,0.58,0.615,0.605,0.545,0.16,1000,0.41,1000
146,0.58,0.645,0.605,0.63,0.16,1000,0.41,121000
147,0.58,0.72,0.615,0.585,0.16,1000,0.41,31000
148,0.58,0.76,0.62,0.575,0.16,1000,0.41,61000
149,0.58,0.735,0.61,0.605,0.16,1000,0.41,91000
150,0.625,0.6,0.62,0.605,0.16,121000,1.4,1000
151,0.625,0.635,0.62,0.535,0.16,121000,1.4,121000
152,0.63,0.635,0.65,0.605,0.16,121000,1.4,31000
153,0.63,0.72,0.63,0.6,0.16,121000,1.4,61000
154,0.63,0.635,0.625,0.625,0.16,121000,1.4,91000
155,0.625,0.65,0.615,0.62,0.16,121000,0.16,1000
156,0.625,0.62,0.62,0.555,0.16,121000,0.16,121000
157,0.625,0.66,0.615,0.62,0.16,121000,0.16,31000
158,0.625,0.685,0.615,0.61,0.16,121000,0.16,61000
159,0.625,0.635,0.615,0.585,0.16,121000,0.16,91000
160,0.63,0.635,0.62,0.61,0.16,121000,1.0,1000
161,0.625,0.695,0.615,0.62,0.16,121000,1.0,121000
162,0.625,0.755,0.615,0.575,0.16,121000,1.0,31000
163,0.625,0.745,0.615,0.59,0.16,121000,1.0,61000
164,0.625,0.58,0.615,0.625,0.16,121000,1.0,91000
165,0.625,0.64,0.62,0.625,0.16,121000,2.8,1000
166,0.625,0.57,0.615,0.565,0.16,121000,2.8,121000
167,0.625,0.635,0.62,0.605,0.16,121000,2.8,31000
168,0.625,0.635,0.625,0.555,0.16,121000,2.8,61000
169,0.625,0.635,0.615,0.59,0.16,121000,2.8,91000
170,0.625,0.615,0.62,0.56,0.16,121000,0.41,1000
171,0.625,0.645,0.62,0.58,0.16,121000,0.41,121000
172,0.625,0.72,0.615,0.605,0.16,121000,0.41,31000
173,0.625,0.76,0.615,0.625,0.16,121000,0.41,61000
174,0.625,0.735,0.615,0.595,0.16,121000,0.41,91000
175,0.71,0.6,0.695,0.62,0.16,31000,1.4,1000
176,0.71,0.635,0.705,0.57,0.16,31000,1.4,121000
177,0.71,0.635,0.695,0.665,0.16,31000,1.4,31000
